"modid","fx","candidate","formula","unique_id","model_filename","model_identifier"
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",202646,"202646_tempOOS_nb_model_1",11
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",202646,"202646_tempOOS_nb_model_2",12
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",202646,"202646_tempOOS_nb_model_3",13
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",202646,"202646_tempOOS_nb_model_4",14
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",202646,"202646_tempOOS_nb_model_baseline",15
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",652377,"652377_tempOOS_nb_model_1",16
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",652377,"652377_tempOOS_nb_model_2",17
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",652377,"652377_tempOOS_nb_model_3",18
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",652377,"652377_tempOOS_nb_model_4",19
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",652377,"652377_tempOOS_nb_model_baseline",20
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",402020,"402020_tempOOS_nb_model_1",21
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",402020,"402020_tempOOS_nb_model_2",22
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",402020,"402020_tempOOS_nb_model_3",23
